name	drugbank-id	type	atc	cas	rxcui	unii	uniprot_kb	drugbank-id-2	synonyms	InChI
Selexipag	DB11362	small molecule	B01AC27	475086-01-2	1729002	5EXC0E384L			Selexipag	QXWZQTURMXZVHJ-UHFFFAOYSA-N
Alectinib	DB11363	small molecule	L01ED03	1256580-46-7	1727455	LIJ4CT1Z3Y			9-ethyl-6,6-dimethyl-8-[4-(morpholin-4-yl)piperidin-1-yl]-11-oxo-6,11-dihydro-5H-benzo[b]carbazole-3-carbonitrile | Alectinib	KDGFLJKFZUIJMX-UHFFFAOYSA-N
Pidotimod	DB11364	small molecule	L03AX05	121808-62-6	40450	785363R681			Pidotimod	UUTKICFRNVKFRG-WDSKDSINSA-N
Sennosides	DB11365	small molecule	A06AB56	517-43-1	36387	3FYP5M0IJX			Senna glycosides | Sennoside | Sennosides	IPQVTOJGNYVQEO-UHFFFAOYSA-N
Roquinimex	DB11366	small molecule	L03AX02	84088-42-6	36387	372T2944C0			Linomide | Roquinimex	SGOOQMRIPALTEL-UHFFFAOYSA-N
Cefroxadine	DB11367	small molecule	J01DB11	51762-05-1	36387	B908C4MV2R			Cefroxadine | cefroxadino	RDMOROXKXONCAL-UEKVPHQBSA-N
Chlorophetanol	DB11368	small molecule	D01AE06	1892-43-9	36387	Q73I5T98DA			2-(4-Chlorophenoxy)ethanol | 2-(4-chlorphenoxy)-ethanol | 2-(p-Chlorophenoxy)ethanol | p-Chlorophenyl glycol ether | p-Chlorophenyl monoglycol ether	GEGSSUSEWOHAFE-UHFFFAOYSA-N
Afoxolaner	DB11369	small molecule		1093861-60-9	1442093	02L07H6D0U			Afoxolaner	OXDDDHGGRFRLEE-UHFFFAOYSA-N
Alfaxalone	DB11371	small molecule	N01AX05	23930-19-0	1544577	BD07M97B2A			Alfaxalone	DUHUCHOQIDJXAT-OLVMNOGESA-N
Altrenogest	DB11372	small molecule		850-52-2	1314612	2U0X0JA2NB			17-alpha-Allyl-estratriene-4,9,11,17-beta-ol-3-one | Allyl trenbolone | Allyltrenbolone | Altrenogest | Altrenogestum	VWAUPFMBXBWEQY-ANULTFPQSA-N
Amitraz	DB11373	small molecule		33089-61-1	17763	33IAH5017S			1,5-di(2,4-dimethylphenyl)-3-methyl-1,3,5-triazapenta-1,4-diene | Amitraz | Amitraze | Amitrazum | N,N'-(methyliminodimethylidyne)bis-2,4-xylidine	QXAITBQSYVNQDR-ZIOPAAQOSA-N
Amprolium	DB11374	small molecule		121-25-5	1006654	71M75T660B			1-((4-amino-2-Propyl-5-pyrimidinyl)methyl)-2-picolinium chloride | Amprolio | Amprolium	LCTXBFGHZLGBNU-UHFFFAOYSA-M
Avilamycin	DB11375	small molecule		11051-71-1	1661561	720WDX56D3			Avilamycin | Avilamycina | Avilamycine | Avilamycinum	XIRGHRXBGGPPKY-OTPQUNEMSA-N
Azaperone	DB11376	small molecule		1649-18-9	2601502	19BV78AK7W			1-(3-(4-Fluorobenzoyl)propyl)-4-(2-pyridyl)piperazine | 1-(4-Fluorophenyl)-4-[4-(2-pyridinyl)-1-piperazinyl]-1-butanone | 4'-Fluoro-4-(4-(2-pyridyl)-1-piperazinyl)butyrophenone | Azaperon | Azaperona | Azaperone | Azaperonum	XTKDAFGWCDAMPY-UHFFFAOYSA-N
Bambermycins	DB11377	small molecule		11015-37-5	1367176	PP922A42V2			Bambermicina | Bambermycin | Bambermycine | Bambermycins | Bambermycinum | Flavofosfolipol | Moenomycin | Moenomycin A	FUIOWSNNCWZETH-NAMXWVJMSA-N
Buquinolate	DB11378	small molecule		5486-03-3	1367176	MFL71K7PU4			Buquinolate | Buquinolato | Buquinolatum	LVVXOXRUTDAKFE-UHFFFAOYSA-N
Butonate	DB11379	small molecule		126-22-7	1367176	39M9R3Q494			Butonate | Butonato | Butonatum	BKAQXYNWONVOAX-UHFFFAOYSA-N
Cambendazole	DB11380	small molecule		26097-80-3	1951	079X63S3DU			Cambendazol | Cambendazole | Cambendazolum	QZWHWHNCPFEXLL-UHFFFAOYSA-N
Carbarsone	DB11382	small molecule		121-59-5	20206	8PK70TXE1T			Carbarson | Carbarsone | Carbarsonum | Pentarsone | Phenarsone	WWXBHTZSYYGCSG-UHFFFAOYSA-N
Carbomycin	DB11383	small molecule		4564-87-8	20206	AIK0XUF3AV			Carbomicina | Carbomycin | Carbomycin A | Carbomycine | Carbomycinum | Magnamycin | Magnamycin A	FQVHOULQCKDUCY-OGHXVOSASA-N
Cefalonium	DB11385	small molecule		5575-21-3	20206	K2P920217W			Cefalonio | Cefalonium | Cephalonium	FMZXNVLFJHCSAF-DNVCBOLYSA-N
Chlorobutanol	DB11386	small molecule	A04AD54	57-15-8	2378	HM4YQM8WRC			Chloretone | Chlorobutanol	OSASVXMJTNOKOY-UHFFFAOYSA-N
Chloroform	DB11387	small molecule	N01AB02	67-66-3	1362698	7V31YC746X			1,1,1-trichloromethane | CHCl3 | Chloroforme | chloroformium pro narcosi | Trichlormethan | Trichloromethane | trichlorométhane	HEDRZPFGACZZDS-UHFFFAOYSA-N
Clorsulon	DB11389	small molecule		60200-06-8	28303	EG1ZDO6LRD			Clorsulon	QOVTVIYTBRHADL-UHFFFAOYSA-N
Coumaphos	DB11390	small molecule		56-72-4	28303	L08SZ5Z5JC			3-Chloro-4-methyl-7-coumarinyl diethyl phosphorothioate | 3-Chloro-4-methyl-7-hydroxycoumarin diethyl thiophosphoric acid ester | 3-Chloro-7-diethoxyphosphinothioyloxy-4-methylcoumarin | 3-Chloro-7-hydroxy-4-methyl-coumarin O,O-diethyl phosphorothioate | Coumafos | Coumaphos | O-(3-chloro-4-methyl-2-oxo-2H-chromen-7-yl) O,O-diethyl thiophosphate | O,O-Diethyl 3-chloro-4-methyl-7-umbelliferone thiophosphate | O,O-Diethyl O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl)phosphorothioate | Phosphorothioic acid, O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester	BXNANOICGRISHX-UHFFFAOYSA-N
Cythioate	DB11392	small molecule		115-93-5	28303	3OOH7Q4333				BSBSDQUZDZXGFN-UHFFFAOYSA-N
Danofloxacin	DB11393	small molecule		112398-08-0	1358488	24CU1YS91D			Danofloxacin | Danofloxacine | Danofloxacino | Danofloxacinum	QMLVECGLEOSESV-RYUDHWBXSA-N
Decoquinate	DB11394	small molecule		18507-89-6	1314345	534I52PVWH			Decoquinate | Decoquinato | Decoquinatum	JHAYEQICABJSTP-UHFFFAOYSA-N
Deracoxib	DB11395	small molecule		169590-41-4	356834	VX29JB5XWV			Déracoxib | Deracoxib | Deracoxibum	WAZQAZKAZLXFMK-UHFFFAOYSA-N
Dichlorophen	DB11396	small molecule	P02DX02	97-23-4	3351	T1J0JOU64O			2,2'-Methylenebis(4-chlorophenol) | Dichlorophen | Dichlorophene | Dichlorophenum | Diclorofeno	MDNWOSOZYLHTCG-UHFFFAOYSA-N
Dichlorvos	DB11397	small molecule		62-73-7	3351	7U370BPS14			2,2-Dichloroethenyl dimethyl phosphate | DDVP | Dichlorvos | Dimethyl 2,2-dichlorovinyl phosphate | Dimethyl-2,2-dichlorovinyl phosphate | Phosphoric acid, 2,2-dichloroethenyl dimethyl ester | Phosphoric acid, 2,2-dichlorovinyl dimethyl ester	OEBRKCOSUFCWJD-UHFFFAOYSA-N
Diclazuril	DB11398	small molecule		101831-37-2	1368201	K110K1B1VE			Diclazuril | Diclazurilo | Diclazurilum	ZSZFUDFOPOMEET-UHFFFAOYSA-N
Dirlotapide	DB11399	small molecule		481658-94-0	1592684	578H0RMP25			Dirlotapide	TUOSYWCFRFNJBS-BHVANESWSA-N
Doramectin	DB11400	small molecule		117704-25-3	73455	KGD7A54H5P			Doramectin | Doramectina | Doramectine | Doramectinum	QLFZZSKTJWDQOS-YDBLARSUSA-N
Efrotomycin	DB11401	small molecule				5BPJ82Q45X			Efrotomycin	ZLECMEJICSWJLT-LIWMBINXSA-N
Emodepside	DB11403	small molecule		155030-63-0	354606	YZ647Y5GC9			Emodepsida | émodepside | Emodepside | Emodepsidum	ZMQMTKVVAMWKNY-YSXLEBCMSA-N
Enrofloxacin	DB11404	small molecule		93106-60-6	24192	3DX3XEK1BN			Enrofloxacin | Enrofloxacine | Enrofloxacino | Enrofloxacinum	SPFYMRJSYKOXGV-UHFFFAOYSA-N
Eprinomectin	DB11405	small molecule		123997-26-2	1006619	75KP30FD8O			Eprinomectin | Eprinomectina | éprinomectine | Eprinomectinum	WPNHOHPRXXCPRA-TVXIRPTOSA-N
Famphur	DB11408	small molecule		52-85-7	1006619	02UOP4Z0O0			Famophos | O-[4-(dimethylsulfamoyl)phenyl] O,O-dimethyl thiophosphate | Phosphorothioic acid, O-(4-((dimethylamino)sulfonyl)phenyl) O,O-dimethyl ester	JISACBWYRJHSMG-UHFFFAOYSA-N
Febantel	DB11409	small molecule		58306-30-2	24805	S75C401OS1			Febantel | Febantelum	HMCCXLBXIJMERM-UHFFFAOYSA-N
Fenbendazole	DB11410	small molecule	P02CA06	43210-67-9	4325	621BVT9M36			[5-(phenylthio)-1H-benzimidazol-2-yl]carbamic acid methyl ester | 2-(methoxycarbonylamino)-5-(phenylthio)benzimidazole | 5-(phenylthio)-2-benzimidazolecarbamic acid methyl ester | Fenbendazol | Fenbendazole | Fenbendazolum | Methyl [5-(phenylthio)-1H-benzimidazol-2-yl]carbamate | methyl 5-(phenylthio)-2-benzimidazolecarbamate	HDDSHPAODJUKPD-UHFFFAOYSA-N
Fenprostalene	DB11411	small molecule		69381-94-8	4325	X8I39OJF4P			Fenprostalene	BYNHBQROLKAEDQ-CNDPCGPLSA-N
Fenthion	DB11412	small molecule		55-38-9	4325	BL0L45OVKT			4-methylmercapto-3-Methylphenyl dimethyl thiophosphate | Mercaptophos | MPP | O,O-Dimethyl O-[3-methyl-4-(methylsulfanyl)phenyl] thiophosphate | O,O-Dimethyl O-4-(methylmercapto)-3-methylphenyl phosphorothioate | O,O-Dimethyl O-4-methylthio-m-tolyl phosphorothioate | O,O-Dimethyl-O-4-(methylmercapto)-3-methylphenyl thiophosphate | Phosphorothioic acid, O,O-dimethyl O-(3-methyl-4-(methylthio)phenyl) ester	PNVJTZOFSHSLTO-UHFFFAOYSA-N
Florfenicol	DB11413	small molecule		73231-34-2	25086	9J97307Y1H			(-)-Florfenicol | D-threo-2,2-Dichloro-N-(alpha-(fluoromethyl)-beta-hydroxy-p-(methylsulfonyl)phenethyl)acetamide | Florfenicol	AYIRNRDRBQJXIF-NXEZZACHSA-N
Fluralaner	DB11414	small molecule		864731-61-3	1538098	WSH8393RM5			Fluralaner	MLBZKOGAMRTSKP-UHFFFAOYSA-N
Gamithromycin	DB11416	small molecule		145435-72-9	1113697	ZE856183S0			Gamithromycin	VWAMTBXLZPEDQO-UZSBJOJWSA-N
Gleptoferron	DB11417	small molecule		57680-55-4	1855078	898723IQHQ			Gleptoferron | Gleptoferronum	QPUPHFVWBIOERP-MXIFXDQUSA-M
Haloxon	DB11419	small molecule		321-55-1	1855078	T8KXA37068			Haloxon | Haloxona | Haloxone | Haloxonum	KULDXINYXFTXMO-UHFFFAOYSA-N
Squalane	DB11420	small molecule		111-01-3	1363644	GW89575KF9			Hexamethyltetracosane	PRAKJMSDJKAYCZ-UHFFFAOYSA-N
Imidacloprid	DB11421	small molecule		105827-78-9	1251576	3BN7M937V8		DB07980	(2E)-1-[(6-chloropyridin-3-yl)methyl]-N-nitroimidazolidin-2-imine | 1-((6-chloro-3-Pyridinyl)methyl)-N-nitro-2-imidazolidinimine | 1-((6-chloro-3-Pyridyl)methyl)-N-nitro-2-imidazolidinimine | IMD	YWTYJOPNNQFBPC-UHFFFAOYSA-N
Lasalocid	DB11423	small molecule		25999-31-9	1364397	W7V2ZZ2FWB			Lasalocid	BBMULGJBVDDDNI-OWKLGTHSSA-N
Lufenuron	DB11424	small molecule		103055-07-8	83586	1R754M4918			1-(2,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl)-3-(2,6-difluorobenzoyl)urea | Fluphenacur | Lufenuron | Lufenurone | Lufenuronum | N-({[2,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl]amino}carbonyl)-2,6-difluorobenzamide	PWPJGUXAGUPAHP-UHFFFAOYSA-N
Luprostiol	DB11425	small molecule		67110-79-6	2583725	HWR60H5GZB			Luprostiol | Luprostiolum	KFUDFIMHDRJVLV-OZCLATTGSA-N
Marbofloxacin	DB11426	small molecule		115550-35-1	69256	8X09WU898T			Marbofloxacin	BPFYOAJNDMUVBL-UHFFFAOYSA-N
Maropitant	DB11427	small molecule		147116-67-4	715869	4XE2T9H4DH			Maropitant	OMPCVMLFFSQFIX-CONSDPRKSA-N
Medetomidine	DB11428	small molecule		86347-14-0	52016	MR15E85MQM			(±)-4-(α,2,3-trimethylbenzyl)imidazole | Medetomidina | Medetomidine | Medetomidinum	CUHVIMMYOGQXCV-UHFFFAOYSA-N
Mibolerone	DB11429	small molecule		3704-09-4	52016	9OGY4BOR8D			(7α,17β)-17-hydroxy-7,17-dimethylestr-4-en-3-one | 17-beta-Hydroxy-7-alpha,17-dimethylestr-4-en-3-one | 7α-17α-dimethyl-19-nortestosterone | Mibolerona | Mibolerone | Miboleronum	PTQMMNYJKCSPET-OMHQDGTGSA-N
Monensin	DB11430	small molecule		17090-79-8	1368208	906O0YJ6ZP			Monensic acid | Monensin | Monensin A | Monensina | Monensinum	GAOZTHIDHYLHMS-KEOBGNEYSA-N
Moxidectin	DB11431	small molecule	P02CX03	113507-06-5	1047072	NGU5H31YO9			Moxidectin | Moxidectina | Moxidectinum	YZBLFMPOMVTDJY-LSGXYNIPSA-N
Narasin	DB11432	small molecule		55134-13-9	1314370	DZY9VU539P			Narasin | Narasin A | Narasine | Narasino | Narasinum	VHKXXVVRRDYCIK-CWCPJSEDSA-N
Nequinate	DB11433	small molecule		13997-19-8	1314370	91ZE013933			Methyl benzoquate | Nequinate | Nequinato | Nequinatum	NNOPDLNHPOLRRE-UHFFFAOYSA-N
Nicarbazin	DB11434	small molecule		330-95-0	1311583	11P9NUA12U			Nicarbazin	UKHWDRMMMYWSFL-UHFFFAOYSA-N
Nifurpirinol	DB11436	small molecule		13411-16-0	1311583	7O5A98XY8U			Furpyrinol | Nifurpirinol | Nifurpirinolum	JQKHJQJVKRFMCO-SNAWJCMRSA-N
Nitarsone	DB11437	small molecule		98-72-6	1311555	JP2EN8WORU			(p-nitrophenyl)arsonic acid | 4-nitrobenzenearsonic acid | 4-nitrophenylarsonic acid | Nitarson | Nitarsone | Nitarsonum | p-nitrobenzenearsonic acid | p-nitrophenylarsonic acid	FUUFQLXAIUOWML-UHFFFAOYSA-N
Nitenpyram	DB11438	small molecule		150824-47-8	341379	3A837VZ81Y			(1E)-N-((6-chloro-3-pyridinyl)methyl)-N-ethyl-N'-methyl-2-nitro-1,1-ethenediamine | (E)-nitenpyram	CFRPSFYHXJZSBI-DHZHZOJOSA-N
Norgestomet	DB11440	small molecule		25092-41-5	341379	3L33UD42X4			Norgestomet	IWSXBCZCPVUWHT-VIFKTUCRSA-N
Oclacitinib	DB11441	small molecule			1487006	99GS5XTB51			Oclacitinib	HJWLJNBZVZDLAQ-UHFFFAOYSA-N
Oleandomycin	DB11442	small molecule	J01RA08	3922-90-5	7629	P8ZQ646136			Amimycin | Landomycin | Matromycin | Oleandomycin | Oleandomycine | Oleandomycinum | Romicil	RZPAKFUAFGMUPI-QESOVKLGSA-N
Orbifloxacin	DB11443	small molecule		113617-63-3	995897	660932TPY6			Orbifloxacin	QIPQASLPWJVQMH-DTORHVGOSA-N
Oxfendazole	DB11446	small molecule		53716-50-0	32634	OMP2H17F9E			(5-(phenylsulfinyl)-1H-benzimidazol-2-yl)carbamic acid methyl ester | 5-(phenylsulfinyl)-2-benzimidazolecarbamic acid methyl ester | 5-phenylsulfinyl-2-carbomethoxyaminobenzimidazole | Fenbendazole S-oxide | Fenbendazole sulfoxide | Fenbendazole sulphoxide | OFDZ | Oxfendazole	BEZZFPOZAYTVHN-UHFFFAOYSA-N
Phenothiazine	DB11447	small molecule		92-84-2	32634	GS9EX7QNU6			10H-phenothiazine | dibenzo-1,4-thiazine | Fenotiazina | Phenothiazine | Phenothiazinum | Thiodiphenylamin	WJFKNYWRSNBZNX-UHFFFAOYSA-N
Phosmet	DB11448	small molecule		732-11-6	32634	VN04LI540Y			Decemthion | Fosmet | O,O-Dimethyl phthalimidomethyl phosphorodithioate | O,O-Dimethyl S-(phthalimidomethyl) dithiophosphate | O,O-Dimethyl S-phthalimidomethyl phosphorodithioate | PMP | S-((1,3-Dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl)phosphorodithioic acid O,O-dimethyl ester | S-[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)methyl] O,O-dimethyl dithiophosphate	LMNZTLDVJIUSHT-UHFFFAOYSA-N
Phthalofyne	DB11449	small molecule		131-67-9	32634	TA9XO4D05J			Ftalofino | Ftalofyne | Ftalofynum | Phthalofyne	CZGIRAWWWHPJHM-UHFFFAOYSA-N
Pimobendan	DB11450	small molecule		74150-27-9	1110783	34AP3BBP9T			dl-Pimobendan | Pimobendan | Pimobendane | Pimobendanum	GLBJJMFZWDBELO-UHFFFAOYSA-N
Poloxalene	DB11451	small molecule		691397-13-4	1314414	V8B3K56SW0			Peg/ppg-24/34 triblock copolymer | Poloxalene	RVGRUAULSDPKGF-UHFFFAOYSA-N
Ponazuril	DB11452	small molecule		69004-04-2	298983	JPW84AS66U			Ponazuril	VBUNOIXRZNJNAD-UHFFFAOYSA-N
Pradofloxacin	DB11453	small molecule		195532-12-8	1367269	6O0T5E048I			Pradofloxacin	LZLXHGFNOWILIY-APPDUMDISA-N
Prostalene	DB11454	small molecule		54120-61-5	1367269	O02SWY8981			Prostalene | Prostaleno	GNIYHUSSKSFYBD-MFZPGRHISA-N
Robenacoxib	DB11455	small molecule		220991-32-2	1250203	Z588009C7C			Robénacoxib | Robenacoxib | Robenacoxibum	ZEXGDYFACFXQPF-UHFFFAOYSA-N
Ronnel	DB11456	small molecule		299-84-3	1250203	89RAG7SB3B			Fenchlorphos | Fenclofos | Fenclofosum | Ronnel	JHJOOSLFWRRSGU-UHFFFAOYSA-N
Rotenone	DB11457	small molecule		83-79-4	1366666	03L9OT429T			(−)-cis-rotenone | (−)-rotenone | (12aS,6aS,2R)-8,9-dimethoxy-2-(1-methylvinyl)-1,2-dihydrochromano[3,4-b]furano [2,3-h]chroman-6-one | [2R-(2α,6aα,12aα)]-1,2,12,12a-tetrahydro-8,9-dimethoxy-2-(1-methylethenyl)[1]benzopyrano[3,4-b]furo[2,3-H][1]benzopyran-6(6aH)-one | 5'β-rotenone | Dactinol | Tubatoxin	JUVIOZPCNVVQFO-HBGVWJBISA-N
Roxarsone	DB11458	small molecule		121-19-7	1314413	H5GU9YQL7L			2-nitro-1-hydroxybenzene-4-arsonic acid | 3-nitro-4-hydroxybenzenearsonic acid | 3-nitro-4-hydroxyphenylarsonic acid | 4-hydroxy-3-nitrobenzenearsonic acid | 4-hydroxy-3-nitrophenylarsonic acid | Roxarson | Roxarsone | Roxarsonum	XMVJITFPVVRMHC-UHFFFAOYSA-N
Selamectin	DB11459	small molecule		220119-17-5	1044269	A2669OWX9N			Selamectin	AFJYYKSVHJGXSN-XHKIUTQPSA-N
Squalene	DB11460	small molecule		111-02-4	10014	7QWM220FJH			(all-E)-2,6,10,15,19,23-hexamethyl-2,6,10,14,18,22-tetracosahexaene | (E,E,E,E)-Squalene | Spinacene | Squalene | Supraene	YYGNTYWPHWGJRM-AAJYLUCBSA-N
Sulfachlorpyridazine	DB11461	small molecule		80-32-0	2476008	P78D9P90C0			4-Amino-N-(6-chloro-3-pyridazinyl)benzenesulfonamide | 4-amino-N-(6-chloropyridazin-3-yl)benzenesulfonamide | N1-(6-Chloro-3-pyridazinyl)sulfanilamide | SCP | Sulfachloropyridazine | Sulfachlorpyridazine | Sulfachlorpyridazinum | Sulfacloropiridazina | Sulphachlorpyridazine	XOXHILFPRYWFOD-UHFFFAOYSA-N
Sulfaethoxypyridazine	DB11462	small molecule		963-14-4	2476008	880RIW1DED			4-amino-N-(6-ethoxy-3-pyridazinyl)benzenesulfonamide | N1-(6-ethoxy-3-pyridazinyl)sulfanilamide | N1-(6-ethoxypyridazin-3-yl)sulphanilamide	FFJIWWBSBCOKLS-UHFFFAOYSA-N
Sulfanitran	DB11463	small molecule		122-16-7	2476008	QT35T5T35Q			Sulfanitran	GWBPFRGXNGPPMF-UHFFFAOYSA-N
Sulfaquinoxaline	DB11464	small molecule		59-40-5	1306111	WNW8115TM9			Sulfaquinoxaline	NHZLNPMOSADWGC-UHFFFAOYSA-N
Tepoxalin	DB11466	small molecule		103475-41-8	1306111	TZ4OX61974			5-(p-Chlorophenyl)-1-(p-methoxyphenyl)-N-methylpyrazole-3-propionohydroxamic acid | Tepoxalin | Tepoxalina | Tepoxaline | Tepoxaliume	XYKWNRUXCOIMFZ-UHFFFAOYSA-N
Thiostrepton	DB11467	small molecule			1365970	HR4S203Y18			Thiostrepton	NSFFHOGKXHRQEW-DVRIZHICSA-N
Tiamulin	DB11468	small molecule		55297-95-5	1546410	E38WZ4U54R			Tiamulin | Tiamulina | Tiamuline | Tiamulinum	UURAUHCOJAIIRQ-QGLSALSOSA-N
Tildipirosin	DB11470	small molecule		328898-40-4	1306059	S795AT66JB			Tildipirosin | Tildipirosina | Tildipirosine | Tildipirosinum	HNDXPZPJZGTJLJ-UEJFNEDBSA-N
Tilmicosin	DB11471	small molecule		108050-54-0	38278	XL4103X2E3			Tilmicosin	JTSDBFGMPLKDCD-XVFHVFLVSA-N
Tioxidazole	DB11472	small molecule		61570-90-9	38278	NZW046NI85			Tioxidazol | Tioxidazole | Tioxidazolum	HLLICFJUWSZHRJ-UHFFFAOYSA-N
Metrifonate	DB11473	small molecule	P02BB01	52-68-6	1000581	DBF2DG4G2K			(±)-Trichlorfon | 1-Hydroxy-2,2,2-trichloroethylphosphonic acid dimethyl ester | Chlorophos | Methyl chlorophos | Metrifonate | Métrifonate | Metrifonato | Metrifonatum | Trichlorfon	NFACJZMKEDPNKN-UHFFFAOYSA-N
Tulathromycin A	DB11474	small molecule		217500-96-4	1309314	897A3KN7AP			Tulathromycin | Tulathromycin A	GUARTUJKFNAVIK-QPTWMBCESA-N
Tylosin	DB11475	small molecule		1401-69-0	995505	YEF4JXN031			Tilosina | Tylocine | Tylosin | Tylosin A | Tylosine | Tylosinum	WBPYTXDJUQJLPQ-VMXQISHHSA-N
Virginiamycin	DB11476	small molecule	D06AX10	11006-76-1	11232	C49WS9N75L			Virginiamicina | Virginiamycin | Virginiamycine | Virginiamycinum	MVTQIFVKRXBCHS-SMMNFGSLSA-N
Xylazine	DB11477	small molecule		7361-61-7	1099660	2KFG9TP5V8			Xilazina | Xylazine | Xylazinum	BPICBUSOMSTKRF-UHFFFAOYSA-N
Zeranol	DB11478	small molecule		26538-44-3	1368476	76LO2L2V39			alpha-Zeranol | Zeranol | Zeranolum | α-zeranol	DWTTZBARDOXEAM-GXTWGEPZSA-N
Zilpaterol	DB11479	small molecule		119520-05-7	1727538	S384A1Y12J			Zilpaterol	ZSTCZWJCLIRCOJ-DGCLKSJQSA-N
Zoalene	DB11480	small molecule		148-01-6	1487907	AOX68RY4TV			Coccidine A | Dinitolmida | Dinitolmide | Dinitolmidum | Zoalene	ZEFNOZRLAWVAQF-UHFFFAOYSA-N
Atipamezole	DB11481	small molecule		104054-27-5	18475	03N9U5JAF6			Atipamezole	HSWPZIDYAHLZDD-UHFFFAOYSA-N
Balsam of Peru	DB11482	small molecule		8007-00-9	33219	DIK0395679			Balsam (peru) oil | Balsam of Peru essential oil  | Balsam Peru | Balsam Peru oil | Balsam peru volatile oil | Balsam-of-peru oil | bálsamo de Perú | bálsamo Perú | China oil | Myrospermum pereirae wood oil | Myrospermum sonsonatense wood oil | Myroxylon balsamum var. pereirae wood oil | Myroxylon pereirae (balsam peru) oil | Myroxylon pereirae wood oil | Peru balsam oil | Peruvian balsam oil | Toluifera balsamum var. pereirae wood oil | Toluifera pereirae wood oil	
Ceftiofur	DB11485	small molecule		80370-57-6	1311521	83JL932I1C			Ceftiofur | Ceftiofur crystalline free acid	ZBHXIWJRIFEVQY-IHMPYVIRSA-N
Dexamethasone isonicotinate	DB11487	small molecule		2265-64-7	3265	8LGC0BOA71			Dexamethasone 21-(4-Pyridinecarboxylate) | Dexamethasone-21-isonicotinate	BQTXJHAJMDGOFI-NJLPOHDGSA-N
Nalorphine	DB11490	small molecule	V03AB02	62-67-9	3265	U59WB2WRY2			Nalorfina | Nalorphine | Nalorphinum	UIQMVEYFGZJHCZ-SSTWWWIQSA-N
Sarafloxacin	DB11491	small molecule		98105-99-8	3265	RC3WJ907XY			Sarafloxacin	XBHBWNFJWIASRO-UHFFFAOYSA-N
Sodium tripolyphosphate	DB11493	small molecule		7758-29-4	1487533	9SW4PFD2FZ			Pentasodium triphosphate | Pentasodium tripolyphosphate | Sodium tripolyphosphate anhydrous	HWGNBUXHKFFFIH-UHFFFAOYSA-I
(S)-methoprene	DB11495	small molecule		65733-16-6	1487533	4YIQ0A94UR			(7S)-Methoprene | isopropyl (2E,4E,7S)-11-methoxy-3,7,11-trimethyldodeca-2,4-dienoate | S-Methoprene	NFGXHKASABOEEW-GYMWBFJFSA-N
2-mercaptobenzothiazole	DB11496	small molecule		149-30-4	1358845	5RLR54Z22K			1,3-Benzothiazol-2-yl hydrosulfide | 1,3-Benzothiazol-2-yl hydrosulphide | 1,3-benzothiazole-2-thiol | 2-Benzothiazolethiol | 2-MBT | 2-Sulfanyl-1,3-benzothiazole | 2-Sulphanyl-1,3-benzothiazole | Benzothiazole-2-thiol | Benzothiazolethiol | Benzothiazolyl mercaptan | MBT | Mercaptobenzothiazole	YXIWHUQXZSMYRE-UHFFFAOYSA-N
Sulfotep	DB11497	small molecule		3689-24-5	1358845	V41BK2EE8X			Bis(O,O-diethylphosphorothionic) anhydride | Dithion | Dithiophos | O,O,O,O-Tetraethyl dithiopyrophosphate | Sulfotepp | Sulphotepp | TEDP | TEDTP | Tetraethyl dithiopyrophosphate | Thiodiphosphate, tetraethyl ester	XIUROWKZWPIAIB-UHFFFAOYSA-N
Amphomycin	DB11499	small molecule		1402-82-0		4P63B997RT			Amfomycine | Amfomycinum | Amphomycin | Anfomicina	XBNDESPXQUOOBQ-LSMLZNGOSA-N
Bunamidine	DB11501	small molecule		3748-77-4		A9IW1G3P6C			Bunamidina | Bunamidine | Bunamidinum | N,N-Dibutyl-4-(hexyloxy)-1-naphthamidine | N,N-Dibutyl-4-hexyloxy-1-naphthamidin	FGGFIMIICGZCCJ-UHFFFAOYSA-N
Butacaine	DB11502	small molecule		149-16-6	1829	Z84S23CGJJ			Butacaina | Butacaine | Butacainum	HQFWVSGBVLEQGA-UHFFFAOYSA-N
Caramiphen	DB11504	small molecule		77-22-5	20191	97J7NP0XJY			Caramifenio | Caramiphen | Caramiphenum	OFAIGZWCDGNZGT-UHFFFAOYSA-N
Cefovecin	DB11505	small molecule			1591901	0D1OL46ZIE			Cefovecin	ZJGQFXVQDVCVOK-QFKLAVHZSA-N
Cloprostenol	DB11507	small molecule		54276-21-0	2606	4208238832			Cloprostenol	VJGGHXVGBSZVMZ-QIZQQNKQSA-N
Cupric glycinate	DB11509	small molecule		13479-54-4	1428217	68VAV8QID7			Copper glycinate | Copper(II) biglycinate | Copper(II) diglycinate | Copper(II) glycinate | Cupric aminoacetate | Cupric glycinate	VVYPIVJZLVJPGU-UHFFFAOYSA-L
