diseaseId	diseaseName	type	MeSH_tree_number	MeSH_heading
C1405854	Retinitis punctata albescens (disorder)	disease	C11	   Eye Diseases
C3151001	Retinitis Pigmentosa 4	disease	C11	   Eye Diseases
C0339284	Polymorphous corneal dystrophy	disease	C11	   Eye Diseases
C0011876	Cataract due to diabetes mellitus	disease	C11	   Eye Diseases
C3275487	X-linked cerebral, cerebellar, coloboma syndrome	disease	C11	   Eye Diseases
C2750068	Roifman-Chitayat Syndrome	disease	C11	   Eye Diseases
C1832526	CATARACT, NONNUCLEAR POLYMORPHIC CONGENITAL, AUTOSOMAL DOMINANT	disease	C11	   Eye Diseases
C0344505	Alacrima	disease	C11	   Eye Diseases
C0266564	Congenital anomaly of retina	group	C11	   Eye Diseases
C0022541	Kearns-Sayre syndrome	disease	C11	   Eye Diseases
C1859317	Cataract and cardiomyopathy	disease	C11	   Eye Diseases
C1847024	ALBINISM, OCULOCUTANEOUS, TYPE IB (disorder)	disease	C11	   Eye Diseases
C0751483	Familial Retinoblastoma	disease	C11	   Eye Diseases
C2881086	Panuveitis, bilateral	disease	C11	   Eye Diseases
C0271135	Ectopic pupil	disease	C11	   Eye Diseases
C0339304	Neoplasm of cornea	disease	C11	   Eye Diseases
C2675590	True anophthalmia	phenotype	C11	   Eye Diseases
C1857780	JOUBERT SYNDROME 5	disease	C11	   Eye Diseases
C2749477	Oculodentodigital Dysplasia, Autosomal Recessive	disease	C11	   Eye Diseases
C0339315	Anterior uveitis idiopathic	disease	C11	   Eye Diseases
C4024763	Optic atrophy from cranial nerve compression	phenotype	C11	   Eye Diseases
C1861303	SYNOVITIS, GRANULOMATOUS, WITH UVEITIS AND CRANIAL NEUROPATHIES (disorder)	disease	C11	   Eye Diseases
C0854915	Retinoblastoma unilateral	disease	C11	   Eye Diseases
C1863557	Young Simpson syndrome	disease	C11	   Eye Diseases
C1857569	CORNEAL ENDOTHELIAL DYSTROPHY 2	disease	C11	   Eye Diseases
C0162279	Choroidal detachment	disease	C11	   Eye Diseases
C1848634	USHER SYNDROME, TYPE IIA	disease	C11	   Eye Diseases
C1276000	Sensory exotropia	disease	C11	   Eye Diseases
C0042170	Uveomeningoencephalitic Syndrome	disease	C11	   Eye Diseases
C4551775	Knobloch Syndrome, Type I	disease	C11	   Eye Diseases
C4551863	Supranuclear Palsy, Progressive, 1	disease	C11	   Eye Diseases
C0154822	Serous retinal detachment	disease	C11	   Eye Diseases
C0152200	Achromatopsia	disease	C11	   Eye Diseases
C0155300	Pseudopapilledema	disease	C11	   Eye Diseases
C0521694	Atrophic retina	disease	C11	   Eye Diseases
C1852021	Drusen, Radial, Autosomal Dominant	disease	C11	   Eye Diseases
C2750450	CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 4	disease	C11	   Eye Diseases
C3264175	Ocular hypertension, bilateral	disease	C11	   Eye Diseases
C0155119	Recurrent erosion of cornea	disease	C11	   Eye Diseases
C0022577	Keratoconjunctivitis, Vernal	disease	C11	   Eye Diseases
C0339471	Maculopathy with diabetes mellitus	disease	C11	   Eye Diseases
C0020581	Hyphema	phenotype	C11	   Eye Diseases
C0009769	Conjunctivitis, Giant Papillary	disease	C11	   Eye Diseases
C1841721	ACHROMATOPSIA 4	disease	C11	   Eye Diseases
C1866293	Retinal cone dystrophy 2	disease	C11	   Eye Diseases
C0543982	Glaucoma, primary	disease	C11	   Eye Diseases
C4703503	Mild hypermetropia	disease	C11	   Eye Diseases
C0029077	Ophthalmia, Sympathetic	disease	C11	   Eye Diseases
C0265259	Popliteal pterygium syndrome	disease	C11	   Eye Diseases
C2751822	Cataract, Autosomal Recessive Congenital 3	disease	C11	   Eye Diseases
C0151205	Periorbital edema	phenotype	C11	   Eye Diseases
C1443384	Retinopathy of prematurity stage 4 - subtotal retinal detachment	disease	C11	   Eye Diseases
C1842362	HERMANSKY-PUDLAK SYNDROME 2	disease	C11	   Eye Diseases
C0013581	Ectopia Lentis	disease	C11	   Eye Diseases
C0339662	Afferent Pupillary Defect	phenotype	C11	   Eye Diseases
C0339534	Usher syndrome type 2	disease	C11	   Eye Diseases
C0005744	Blepharophimosis	disease	C11	   Eye Diseases
C0339358	Infantile cataract	disease	C11	   Eye Diseases
C0009765	Conjunctivitis, Acute Hemorrhagic	disease	C11	   Eye Diseases
C0155100	Peripheral opacity of cornea	phenotype	C11	   Eye Diseases
C3839737	High astigmatism	disease	C11	   Eye Diseases
C2939414	Nuclear sclerosis	disease	C11	   Eye Diseases
C0521686	Glaucomatous retinal degeneration	disease	C11	   Eye Diseases
C0423325	Ectropion uveae	disease	C11	   Eye Diseases
C0022573	Keratoconjunctivitis	disease	C11	   Eye Diseases
C1849394	Enhanced S-Cone Syndrome	disease	C11	   Eye Diseases
C1837974	Corneal Dystrophy, Lattice Type IIIA	disease	C11	   Eye Diseases
C0266525	Irido-corneal dysgenesis	disease	C11	   Eye Diseases
C1857574	CORNEA PLANA 2	disease	C11	   Eye Diseases
C1840452	Hyaloideoretinal degeneration of Wagner	disease	C11	   Eye Diseases
C0018979	Hemianopsia	disease	C11	   Eye Diseases
C0346328	Meningioma of optic nerve sheath	disease	C11	   Eye Diseases
C3152182	Anterior chamber anomalies	phenotype	C11	   Eye Diseases
C0155188	Senile entropion	disease	C11	   Eye Diseases
C0014493	Epidemic keratoconjunctivitis	disease	C11	   Eye Diseases
C1837023	CATARACT, CONGENITAL, CERULEAN TYPE, 3	disease	C11	   Eye Diseases
C2930835	Optic Disc Edema	disease	C11	   Eye Diseases
C2675496	Retinitis Pigmentosa 46	disease	C11	   Eye Diseases
C3697376	Oculoskeletal dysplasia	disease	C11	   Eye Diseases
C1843815	Newfoundland Rod-Cone Dystrophy	disease	C11	   Eye Diseases
C1859568	BARDET-BIEDL SYNDROME 10	disease	C11	   Eye Diseases
C0339277	Corneal Dystrophy, Juvenile Epithelial of Meesmann	disease	C11	   Eye Diseases
C1142223	Granulomatous iritis	disease	C11	   Eye Diseases
C0029128	Optic Disk Drusen	disease	C11	   Eye Diseases
C1864663	HYPOMYELINATION AND CONGENITAL CATARACT	disease	C11	   Eye Diseases
C1321325	Elliptical nystagmus	phenotype	C11	   Eye Diseases
C0344516	Coloboma of lens	disease	C11	   Eye Diseases
C3151060	Macular Degeneration, Age-Related, 6	disease	C11	   Eye Diseases
C1721017	Paraneoplastic Opsoclonus-Myoclonus Ataxia	disease	C11	   Eye Diseases
C0206115	WAGR Syndrome	disease	C11	   Eye Diseases
C0751712	Posterior Ischemic Optic Neuropathy	disease	C11	   Eye Diseases
C0014390	Entropion	disease	C11	   Eye Diseases
C1562689	Congenital hereditary endothelial dystrophy	disease	C11	   Eye Diseases
C0155111	Bullous keratopathy	disease	C11	   Eye Diseases
C0729777	Corneal Infection	disease	C11	   Eye Diseases
C0154051	Hemangioma of retina	disease	C11	   Eye Diseases
C0796037	Martsolf syndrome	disease	C11	   Eye Diseases
C0266521	Marcus Gunn phenomenon	disease	C11	   Eye Diseases
C2675904	Wilms Tumor, Aniridia, Genitourinary Anomalies, Mental Retardation, and Obesity Syndrome	disease	C11	   Eye Diseases
C0015411	Eye Manifestations	phenotype	C11	   Eye Diseases
C0266551	Congenital coloboma of iris	disease	C11	   Eye Diseases
C0344262	Anterior lenticonus	disease	C11	   Eye Diseases
C0578682	Madarosis of eyebrow	disease	C11	   Eye Diseases
C4255043	Microphthalmos co-occurrent with congenital ocular coloboma	disease	C11	   Eye Diseases
C0266559	Persistent primary vitreous	disease	C11	   Eye Diseases
C0019364	Herpes Zoster Ophthalmicus	disease	C11	   Eye Diseases
C1328355	Laryngoonychocutaneous syndrome	disease	C11	   Eye Diseases
C1443228	Carnitine Acetyltransferase Deficiency	phenotype	C11	   Eye Diseases
C1843496	Bilateral microphthalmos	disease	C11	   Eye Diseases
C0035317	Retinal Hemorrhage	phenotype	C11	   Eye Diseases
C0265241	Franceschetti-Klein syndrome	disease	C11	   Eye Diseases
C0016782	Fuchs' heterochromic cyclitis	disease	C11	   Eye Diseases
C4725091	metastatic intraocular melanoma	disease	C11	   Eye Diseases
C0344297	Choroidal sclerosis	disease	C11	   Eye Diseases
C0751484	Sporadic Retinoblastoma	disease	C11	   Eye Diseases
C2930898	Benign essential blepharospasm	disease	C11	   Eye Diseases
C0206368	Exfoliation Syndrome	disease	C11	   Eye Diseases
C0393626	Opsoclonus-Myoclonus Syndrome	disease	C11	   Eye Diseases
C0038457	Stromal Dystrophies, Corneal	group	C11	   Eye Diseases
C2673873	BARDET-BIEDL SYNDROME 13	disease	C11	   Eye Diseases
C0271083	Nonexudative age-related macular degeneration	disease	C11	   Eye Diseases
C0017601	Glaucoma	disease	C11	   Eye Diseases
C0020575	Hypertropia	phenotype	C11	   Eye Diseases
C0339495	Cilioretinal artery occlusion	disease	C11	   Eye Diseases
C0685869	Monophthalmos	disease	C11	   Eye Diseases
C0339623	Primary Esotropia	disease	C11	   Eye Diseases
C1842577	JOUBERT SYNDROME 2	disease	C11	   Eye Diseases
C1833118	Cataract, Pulverulent	disease	C11	   Eye Diseases
C0339619	Congenital esotropia	disease	C11	   Eye Diseases
C0344539	Hypoplasia of iris	disease	C11	   Eye Diseases
C3501847	Night blindness, congenital stationary, type 1	disease	C11	   Eye Diseases
C2750448	CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 6	disease	C11	   Eye Diseases
C0008522	Choroid Hemorrhage	phenotype	C11	   Eye Diseases
C0003079	Anisocoria	phenotype	C11	   Eye Diseases
C0854211	Bacterial keratitis	disease	C11	   Eye Diseases
C0008521	Choroid Diseases	group	C11	   Eye Diseases
C1849718	POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE	disease	C11	   Eye Diseases
C1303009	Microcoria, congenital	disease	C11	   Eye Diseases
C1970236	Microphthalmia, Posterior, With Retinitis Pigmentosa, Foveoschisis, And Optic Disc Drusen	disease	C11	   Eye Diseases
C0271379	Convergence Insufficiency	disease	C11	   Eye Diseases
C0339263	Pseudophakic corneal edema	disease	C11	   Eye Diseases
C1849409	Knobloch syndrome	disease	C11	   Eye Diseases
C0020302	Hydrophthalmos	disease	C11	   Eye Diseases
C0271383	Symptomatic Nystagmus	disease	C11	   Eye Diseases
C0242387	Mandibulofacial Dysostosis	disease	C11	   Eye Diseases
C0234632	Reduced visual acuity	phenotype	C11	   Eye Diseases
C4024790	Adult-onset night blindness	disease	C11	   Eye Diseases
C4703499	Constant exotropia	disease	C11	   Eye Diseases
C3495438	Macular Degeneration, Age-Related, 2	disease	C11	   Eye Diseases
C0003119	Anophthalmos	disease	C11	   Eye Diseases
C1845667	RETINITIS PIGMENTOSA 3	disease	C11	   Eye Diseases
C1855925	Hyperopia, High	phenotype	C11	   Eye Diseases
C0085636	Photophobia	phenotype	C11	   Eye Diseases
C0311338	Fundus Albipunctatus	disease	C11	   Eye Diseases
C1865915	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 2	disease	C11	   Eye Diseases
C0339303	Corneal graft rejection	disease	C11	   Eye Diseases
C4551508	Dominant hereditary optic atrophy	disease	C11	   Eye Diseases
C0162674	Chronic progressive external ophthalmoplegia	disease	C11	   Eye Diseases
C1848392	Zunich neuroectodermal syndrome	disease	C11	   Eye Diseases
C0795902	Coloboma, cleft lip-palate and mental retardation syndrome	disease	C11	   Eye Diseases
C0339143	Thyroid associated opthalmopathies	disease	C11	   Eye Diseases
C0751079	Diplopia, Vertical	disease	C11	   Eye Diseases
C1869114	Weill-Marchesani Syndrome, Autosomal Recessive	disease	C11	   Eye Diseases
C4020911	Herpetiform corneal ulceration	disease	C11	   Eye Diseases
C3263719	Primary acquired melanosis	disease	C11	   Eye Diseases
C0858762	Neuro-Behcet disease	disease	C11	   Eye Diseases
C1864908	Cataract, autosomal recessive congenital 2	disease	C11	   Eye Diseases
C0521579	Congenital strabismus	disease	C11	   Eye Diseases
C2751307	MICROPHTHALMIA, ISOLATED 4 (disorder)	disease	C11	   Eye Diseases
C1862472	Oculomelic amyoplasia	disease	C11	   Eye Diseases
C1867326	RETINAL CONE DYSTROPHY 1	disease	C11	   Eye Diseases
C0271007	Phthisis bulbi	disease	C11	   Eye Diseases
C0151450	Secondary Sjögren's syndrome	disease	C11	   Eye Diseases
C0271402	Scleral abscess	phenotype	C11	   Eye Diseases
C0155210	Eyelid Xanthoma	disease	C11	   Eye Diseases
C0010035	Hereditary corneal dystrophy	disease	C11	   Eye Diseases
C1842816	RETINITIS PIGMENTOSA 30	disease	C11	   Eye Diseases
C1859567	BARDET-BIEDL SYNDROME 9	disease	C11	   Eye Diseases
C1858280	Charcot-Marie-Tooth Neuropathy, Type 4B2, with Early-Onset Glaucoma	disease	C11	   Eye Diseases
C1970386	Cataract, Posterior Polar, 4, With Microphthalmia And Neurodevelopmental Abnormalities	disease	C11	   Eye Diseases
C1527411	Thrombosis of retinal vein	disease	C11	   Eye Diseases
C1864653	GLAUCOMA 1, OPEN ANGLE, M (disorder)	disease	C11	   Eye Diseases
C1863534	Stargardt disease 4	disease	C11	   Eye Diseases
C2677774	Age-Related Macular Degeneration type 11	disease	C11	   Eye Diseases
C1866422	RETINITIS PIGMENTOSA 19	disease	C11	   Eye Diseases
C1836603	Foveal Hypoplasia and Anterior Segment Dysgenesis	disease	C11	   Eye Diseases
C4041558	Cone-rod synaptic disorder, congenital nonprogressive	disease	C11	   Eye Diseases
C0339730	Blindness, Acquired	disease	C11	   Eye Diseases
C1688637	Intraoperative floppy iris syndrome	phenotype	C11	   Eye Diseases
C1863870	Hypospadias, Hypertelorism, Upper Lid Coloboma, and Mixed-Type Hearing Loss	phenotype	C11	   Eye Diseases
C4551953	MACULAR DYSTROPHY, VITELLIFORM, 1	disease	C11	   Eye Diseases
C1855663	Kaufman oculocerebrofacial syndrome	disease	C11	   Eye Diseases
C0015423	Eyelid Diseases	group	C11	   Eye Diseases
C3665346	Unspecified visual loss	phenotype	C11	   Eye Diseases
C0022904	Lacrimal Apparatus Diseases	group	C11	   Eye Diseases
C0151891	Retinal depigmentation	phenotype	C11	   Eye Diseases
C0002016	Aleutian Mink Disease	disease	C11	   Eye Diseases
C1318020	Stromal keratitis	disease	C11	   Eye Diseases
C1836373	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2K	disease	C11	   Eye Diseases
C4021559	Retinitis pigmentosa inversa	disease	C11	   Eye Diseases
C0339164	Seasonal allergic conjunctivitis	disease	C11	   Eye Diseases
C0344243	See-Saw Nystagmus	disease	C11	   Eye Diseases
C1837073	Spondylometaphyseal Dysplasia with Cone-Rod Dystrophy	disease	C11	   Eye Diseases
C0154778	Myopia, Degenerative	disease	C11	   Eye Diseases
C0004106	Astigmatism	disease	C11	   Eye Diseases
C0017612	Glaucoma, Open-Angle	disease	C11	   Eye Diseases
C1839580	Nystagmus 1, congenital, X- linked	disease	C11	   Eye Diseases
C0271086	Toxic maculopathy	disease	C11	   Eye Diseases
C2681923	RETINITIS PIGMENTOSA 2 (disorder)	disease	C11	   Eye Diseases
C0009363	Congenital ocular coloboma (disorder)	disease	C11	   Eye Diseases
C0730322	Multiple evanescent white dot syndrome	disease	C11	   Eye Diseases
C0271178	Irvine-Gass Syndrome	disease	C11	   Eye Diseases
C0521761	Non-Fatigable Positional Nystagmus	disease	C11	   Eye Diseases
C0271055	Rhegmatogenous retinal detachment	disease	C11	   Eye Diseases
C4049005	Cataract, total congenital with posterior sutural opacities in Heterozygotes	disease	C11	   Eye Diseases
C0271097	Usher Syndrome	disease	C11	   Eye Diseases
C1562067	Human T-cell Lymphoma Virus Type -1 associated uveitis	disease	C11	   Eye Diseases
C0339295	Exposure keratoconjunctivitis	disease	C11	   Eye Diseases
C1866984	Sclerocornea, Autosomal Dominant	disease	C11	   Eye Diseases
C1449744	Myopia, Progressive	disease	C11	   Eye Diseases
C1832167	Ectopia Lentis, Spontaneous Filtering Blebs, and Craniofacial Dysmorphism	disease	C11	   Eye Diseases
C1853230	Aphakia, congenital primary	disease	C11	   Eye Diseases
C0339651	Horizontal gaze palsy	disease	C11	   Eye Diseases
C0035320	Retinal Neovascularization	phenotype	C11	   Eye Diseases
C1562113	Fleck corneal dystrophy	disease	C11	   Eye Diseases
C1838702	Retinitis Pigmentosa 13	disease	C11	   Eye Diseases
C1859569	BARDET-BIEDL SYNDROME 11	disease	C11	   Eye Diseases
C1842026	GLAUCOMA 1, OPEN ANGLE, E	disease	C11	   Eye Diseases
C0410174	Fukuyama Type Congenital Muscular Dystrophy	disease	C11	   Eye Diseases
C1835933	Glaucoma 1, Open Angle, G	disease	C11	   Eye Diseases
C0004606	Nonproliferative diabetic retinopathy	disease	C11	   Eye Diseases
C4024210	Lester's sign	phenotype	C11	   Eye Diseases
C1853153	JOUBERT SYNDROME 6	disease	C11	   Eye Diseases
C1844579	Exudative Vitreoretinopathy, Familial, X-Linked Recessive	disease	C11	   Eye Diseases
C0042167	Uveitis, Posterior	disease	C11	   Eye Diseases
C1862264	Bpes With Duane Retraction Syndrome	disease	C11	   Eye Diseases
C0042798	Low Vision	disease	C11	   Eye Diseases
C0729842	Serpiginous choroiditis	disease	C11	   Eye Diseases
C1623209	Okihiro Syndrome	disease	C11	   Eye Diseases
C3714208	Blepharophimosis, Ptosis, and Epicanthus Inversus Type II	disease	C11	   Eye Diseases
C2931213	Usher syndrome, type 2C	disease	C11	   Eye Diseases
C2931205	Usher syndrome, type 1A	disease	C11	   Eye Diseases
C2931387	Leber congenital amaurosis, type 4	disease	C11	   Eye Diseases
C0456909	Blindness	phenotype	C11	   Eye Diseases
C3665333	Keratitis-Ichthyosis-Deafness Syndrome	disease	C11	   Eye Diseases
C0796028	ATAXIA, FATAL X-LINKED, WITH DEAFNESS AND LOSS OF VISION	disease	C11	   Eye Diseases
C1444681	Anterior capsule opacification	disease	C11	   Eye Diseases
C1847089	USHER SYNDROME, TYPE IG	disease	C11	   Eye Diseases
C1836217	Tukel syndrome	disease	C11	   Eye Diseases
C0015310	Exotropia	disease	C11	   Eye Diseases
C1720383	Simple ectopia lentis	disease	C11	   Eye Diseases
C0023308	Lens Diseases	group	C11	   Eye Diseases
C0544008	Chandler syndrome	disease	C11	   Eye Diseases
C0854914	Retinoblastoma bilateral	disease	C11	   Eye Diseases
C0029002	Onchocerciasis, Ocular	disease	C11	   Eye Diseases
C4552002	WEILL-MARCHESANI SYNDROME 1	disease	C11	   Eye Diseases
C0730284	Clinically significant macular edema	disease	C11	   Eye Diseases
C0750958	Blindness, Monocular	disease	C11	   Eye Diseases
C2748527	KERATOSIS FOLLICULARIS SPINULOSA DECALVANS, AUTOSOMAL DOMINANT (disorder)	disease	C11	   Eye Diseases
C2673874	BARDET-BIEDL SYNDROME 14 (disorder)	disease	C11	   Eye Diseases
C1832466	CAPOS syndrome	disease	C11	   Eye Diseases
C1832174	DOYNE HONEYCOMB RETINAL DYSTROPHY	disease	C11	   Eye Diseases
C1833693	Otodental Dysplasia	disease	C11	   Eye Diseases
C0339271	Salzmann nodular dystrophy	disease	C11	   Eye Diseases
C4551714	Rod-Cone Dystrophy	disease	C11	   Eye Diseases
C1860118	Acrofrontofacionasal dysostosis syndrome	disease	C11	   Eye Diseases
C0024441	Macular Holes	disease	C11	   Eye Diseases
C4304022	Attenuated Chédiak-Higashi syndrome	disease	C11	   Eye Diseases
C1852020	Malattia Leventinese	disease	C11	   Eye Diseases
C0271004	Absent anterior chamber of eye	disease	C11	   Eye Diseases
C1834759	Macrosomia obesity macrocephaly ocular abnormalities	disease	C11	   Eye Diseases
C0677628	Macular drusen	phenotype	C11	   Eye Diseases
C0152227	Excessive tearing	disease	C11	   Eye Diseases
C1855179	CATARACT, ANTERIOR POLAR	disease	C11	   Eye Diseases
C1849198	Opacification of the corneal epithelium	phenotype	C11	   Eye Diseases
C4551977	Microphthalmos, Autosomal Recessive	disease	C11	   Eye Diseases
C1846529	CONE-ROD DYSTROPHY 10	disease	C11	   Eye Diseases
C1864720	MICROPHTHALMIA, ISOLATED 2	disease	C11	   Eye Diseases
C0796070	MICROPHTHALMIA, SYNDROMIC 7	disease	C11	   Eye Diseases
C3489704	Vision Disability	disease	C11	   Eye Diseases
C1838603	Retinitis Pigmentosa 14	disease	C11	   Eye Diseases
C0005741	Blepharitis	disease	C11	   Eye Diseases
C1836010	Spastic Paraplegia, Optic Atrophy, and Neuropathy	disease	C11	   Eye Diseases
C0152233	Congenital ankyloblepharon	disease	C11	   Eye Diseases
C2931207	Usher syndrome, type 1C	disease	C11	   Eye Diseases
C0339682	Regular astigmatism - corneal	disease	C11	   Eye Diseases
C0266526	Norrie disease	disease	C11	   Eye Diseases
C0154936	Pupillary abnormality	phenotype	C11	   Eye Diseases
C2751308	CONE DYSTROPHY 4 (disorder)	disease	C11	   Eye Diseases
C1864652	Growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate	disease	C11	   Eye Diseases
C0016781	Fuchs Endothelial Dystrophy	disease	C11	   Eye Diseases
C0342684	Ocular albinism, type I	disease	C11	   Eye Diseases
C1832423	Cataract, Age-Related Nuclear	phenotype	C11	   Eye Diseases
C0266541	Microphakia	disease	C11	   Eye Diseases
C0028840	Ocular Hypertension	disease	C11	   Eye Diseases
C2675857	Holoprosencephaly 10	phenotype	C11	   Eye Diseases
C0268425	Alstrom Syndrome	disease	C11	   Eye Diseases
C1864877	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 2B (disorder)	disease	C11	   Eye Diseases
C2750325	Oculootodental syndrome	disease	C11	   Eye Diseases
C0339273	Corneal dystrophy, Lattice type 3	disease	C11	   Eye Diseases
C1857768	Cataract, Pulverulent, Juvenile-Onset	disease	C11	   Eye Diseases
C0751711	Anterior Ischemic Optic Neuropathy	disease	C11	   Eye Diseases
C1835897	Retinal Cone Dystrophy 3B	disease	C11	   Eye Diseases
C2936863	Bardet-Biedl syndrome 2 (disorder)	disease	C11	   Eye Diseases
C1863767	Light Fixation Seizure Syndrome	disease	C11	   Eye Diseases
C0015404	Eye Infections, Bacterial	group	C11	   Eye Diseases
C4476577	Incomitant strabismus	disease	C11	   Eye Diseases
C0155299	Coloboma of optic disc	disease	C11	   Eye Diseases
C0015403	Eye Infection	group	C11	   Eye Diseases
C2750404	Fibrosis of Extraocular Muscles, Congenital, 3C	phenotype	C11	   Eye Diseases
C3887709	Optic Neuropathy	disease	C11	   Eye Diseases
C0796074	MOHR-TRANEBJAERG SYNDROME	disease	C11	   Eye Diseases
C1865286	MACROPHTHALMIA, COLOBOMATOUS, WITH MICROCORNEA	disease	C11	   Eye Diseases
C0339165	Perennial allergic conjunctivitis	disease	C11	   Eye Diseases
C0220663	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS (disorder)	disease	C11	   Eye Diseases
C1853100	CEREBROOCULOFACIOSKELETAL SYNDROME 4	disease	C11	   Eye Diseases
C0730321	Punctate inner choroidopathy	disease	C11	   Eye Diseases
C0344263	Posterior lenticonus	disease	C11	   Eye Diseases
C0036416	Scleritis	disease	C11	   Eye Diseases
C2677516	RETINITIS PIGMENTOSA 41 (disorder)	disease	C11	   Eye Diseases
C2880381	Arcus senilis, bilateral	disease	C11	   Eye Diseases
C1860224	ABLEPHARON-MACROSTOMIA SYNDROME	disease	C11	   Eye Diseases
C1863634	Cone-Rod Dystrophy 7	disease	C11	   Eye Diseases
C0035309	Retinal Diseases	group	C11	   Eye Diseases
C0796202	Wittwer syndrome	disease	C11	   Eye Diseases
C2750789	RETINITIS PIGMENTOSA, CONCENTRIC (disorder)	disease	C11	   Eye Diseases
C0543991	Chronic primary angle closure glaucoma	disease	C11	   Eye Diseases
C4304725	Leber plus disease	disease	C11	   Eye Diseases
C1853147	MACULAR DEGENERATION, AGE-RELATED, 4 (disorder)	disease	C11	   Eye Diseases
C4551734	Esodeviation	disease	C11	   Eye Diseases
C0035344	Retinopathy of Prematurity	disease	C11	   Eye Diseases
C0275703	Brazilian purpuric fever	disease	C11	   Eye Diseases
C4721766	Unspecified secondary cataract	disease	C11	   Eye Diseases
C0271198	Scotoma, Arcuate	phenotype	C11	   Eye Diseases
C0796033	MARDEN-WALKER SYNDROME	disease	C11	   Eye Diseases
C0730290	Cone Dystrophy	disease	C11	   Eye Diseases
C0027547	Necrotizing Scleritis	disease	C11	   Eye Diseases
C0220701	RETINITIS PIGMENTOSA 1	disease	C11	   Eye Diseases
C0027873	Neuromyelitis Optica	disease	C11	   Eye Diseases
C0162281	Corneal deposit	disease	C11	   Eye Diseases
C1836724	CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 3 (disorder)	disease	C11	   Eye Diseases
C0266571	Congenital retinal aneurysm	disease	C11	   Eye Diseases
C2675185	Kahrizi Syndrome	disease	C11	   Eye Diseases
C1832215	Athabaskan brainstem dysgenesis	disease	C11	   Eye Diseases
C0812437	Oculo-dento-digital syndrome	disease	C11	   Eye Diseases
C1861451	Stormorken Syndrome	disease	C11	   Eye Diseases
C1857800	CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 2	disease	C11	   Eye Diseases
C1306068	After-cataract	disease	C11	   Eye Diseases
C1853139	OPTIC ATROPHY 5 (disorder)	disease	C11	   Eye Diseases
C1857588	Amaurosis hypertrichosis	disease	C11	   Eye Diseases
C1852759	Papillorenal syndrome	disease	C11	   Eye Diseases
C2751309	Achromatopsia 5	disease	C11	   Eye Diseases
C1167769	Candida endophthalmitis	disease	C11	   Eye Diseases
C1836080	Stickler Syndrome, Type I, Nonsyndromic Ocular	disease	C11	   Eye Diseases
C4518774	Joubert syndrome with Jeune asphyxiating thoracic dystrophy	disease	C11	   Eye Diseases
C1864205	Macular Degeneration, Age-Related, 1	disease	C11	   Eye Diseases
C4304714	Cone dystrophy with supernormal rod response	disease	C11	   Eye Diseases
C1863616	ACROMELIC FRONTONASAL DYSOSTOSIS	disease	C11	   Eye Diseases
C0346326	Optic Nerve Glioma	disease	C11	   Eye Diseases
C1835677	Keratoconus 1	disease	C11	   Eye Diseases
C1850077	Supranuclear Palsy, Progressive, 1, Atypical	disease	C11	   Eye Diseases
C1853394	Gaze-evoked horizontal nystagmus	phenotype	C11	   Eye Diseases
C0271385	Horizontal Nystagmus	disease	C11	   Eye Diseases
C0154870	Focal chorioretinitis	disease	C11	   Eye Diseases
C1970237	Microphthalmia, Isolated 3	disease	C11	   Eye Diseases
C2674009	Microcornea, Rod-Cone Dystrophy, Cataract, And Posterior Staphyloma	disease	C11	   Eye Diseases
C0028738	Nystagmus	disease	C11	   Eye Diseases
C0034951	Refractive Errors	group	C11	   Eye Diseases
C1867155	RING DERMOID OF CORNEA	disease	C11	   Eye Diseases
C0015405	Fungal eye infections	group	C11	   Eye Diseases
C0751401	Ophthalmoparesis	phenotype	C11	   Eye Diseases
C0302129	Achromatopsia 1	disease	C11	   Eye Diseases
C2675210	CONE-ROD DYSTROPHY 12 (disorder)	disease	C11	   Eye Diseases
C0521573	Coloboma of eyelid	phenotype	C11	   Eye Diseases
C2932677	Idiopathic Juxtafoveal Retinal Telangiectasia	disease	C11	   Eye Diseases
C1392104	Coralliform cataract	disease	C11	   Eye Diseases
C0521683	Chorioretinal degeneration	disease	C11	   Eye Diseases
C4551862	Ophthalmoplegia, Progressive Supranuclear	disease	C11	   Eye Diseases
C1970163	RETINITIS PIGMENTOSA 37 (disorder)	disease	C11	   Eye Diseases
C0233769	Micropsia	phenotype	C11	   Eye Diseases
C3495587	Night Blindness, Congenital Stationary, Type 1A	disease	C11	   Eye Diseases
C0029124	Optic Atrophy	disease	C11	   Eye Diseases
C0030804	Pemphigoid, Benign Mucous Membrane	disease	C11	   Eye Diseases
C1333148	Conjunctival intraepithelial neoplasia	disease	C11	   Eye Diseases
C3495589	Jalili syndrome	disease	C11	   Eye Diseases
C1622345	Meretoja syndrome	disease	C11	   Eye Diseases
